Salary,playerID,POS,AB_bat,G_bat,pa,HR_bat,R_bat,RBI_bat,SB_bat,BB_bat,SO_bat,ISO,BABIP,AVG,OBP,SLUG,wOBA,wRC,wSB,BsR,Def,Off,WAR,TeamFit,Team Fit,Land Prob,Available,Bats,Throws,Full Name,Team,Min Def,Max Def,Min Off,Max Off,Min Team Fit,Max Team Fit,Bargain 2,Off (Norm),Def (Norm),Min Bargain 2,Max Bargain 2
560000,acunaro01,LF,626,156,712,41,127,101,37,76,188,0.238019169,0.336683417,0.279552716,337.014377,201.1964856,0.312871469,77.69077986,3.28693,705.3127949,-78.13953488,-4.073916884,116.337684,90.83002352,90.83002352,0.376752407,0,Right,Right, Ronald Jose Acuna ,Atlanta Braves,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,99.7759496,52.65741542,43.23993721,-0.00000172,9.99E-05
562400,adamewi01,SS,531,152,584,20,69,52,4,46,153,0.163841808,0.320334262,0.254237288,231.0056497,162.1129944,0.270015517,44.12493506,-0.47049,576.5587023,57.28971963,-24.95983576,105.2893068,72.00288966,72.00288966,0.195561138,0,Right,Right, Willy Rafael Adames ,Tampa Bay Rays,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,78.72823101,24.80391027,79.17229178,-0.00000172,9.99E-05
4000000,adamsma01,1B,310,111,333,20,42,56,0,20,115,0.238709677,0.284090909,0.225806452,113.0064516,84.19354839,0.280801205,27.97283571,-0.21489,329.807889,-63.76344086,-11.0011338,79.3811081,38.79116283,38.79116283,0.659677757,1,Left,Right, Matthew James Adams ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,5.989194467,43.41926443,47.05423058,-0.00000172,9.99E-05
1300000,adriaeh01,SS,202,84,234,5,34,22,0,20,40,0.143564356,0.310559006,0.272277228,105.029703,69.07425743,0.279155844,19.35508812,-0.99528,221.0112495,25.98130841,-7.981459945,70.75672587,30.68130636,30.68130636,0.917347924,1,Both,Right, Ehire Enrique Adrianza ,Minnesota Twins,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,14.50132204,47.44630781,70.86548291,-0.00000172,9.99E-05
637500,aguilje01,1B,314,131,366,12,39,50,0,43,81,0.152866242,0.271929825,0.23566879,169.0063694,86.11464968,0.235814208,17.85122944,-0.35815,356.6497111,-63.97849462,-26.39512788,81.98812268,41.75057988,41.75057988,0.511975524,0,Right,Right, Jesus Alexander Aguilar ,Miami Marlins,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,40.22556626,22.88980169,46.9971721,-0.00000172,9.99E-05
3662500,ahmedni01,SS,556,158,625,19,79,82,8,52,113,0.183453237,0.279816514,0.253597122,261.0071942,186.102518,0.270337621,47.38039378,0.32951,608.3393428,65.23364486,-26.55679042,108.3760045,78.9689876,78.9689876,0.574789897,0,Right,Right, Nicholas Mark Ahmed ,Arizona Diamondbacks,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,13.29513343,22.67420819,81.27998956,-0.00000172,9.99E-05
578000,alberha01,3B,524,139,550,12,62,51,4,16,50,0.116412214,0.31827957,0.305343511,199.0076336,185.0687023,0.309565934,58.59026134,-1.25088,538.7786379,94.03508772,-4.650448123,101.1342888,70.87969233,70.87969233,0.458690207,0,Right,Right, Hanser Joel Alberto ,Baltimore Orioles,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,75.40740031,51.88855215,88.92164468,-0.00000172,9.99E-05
2500000,alberma01,RP,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.617910448,0,0,0.340512881,0.340512881,0.700881996,1,Left,Right, Matthew James Albers ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,8.39E-02,58.0903995,65.1973044,-0.00000172,9.99E-05
575000,albieoz01,2B,640,160,702,24,102,86,15,54,112,0.2046875,0.32480315,0.2953125,305.00625,248.1125,0.319145115,80.04840305,0.86618,694.8727611,135.7894737,-0.19954919,116.2949457,96.0062278,96.0062278,0.678580046,1,Both,Right, Ozhaino Jurdy Jiandro Albies ,Atlanta Braves,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,102.7196151,57.82428029,100,-0.00000172,9.99E-05
555000,alcansa01,SP,58,32,63,0,2,4,0,1,46,0.017241379,0.416666667,0.086206897,8.017241379,6,0.092416667,-4.001675803,-0.02262,58.97738,11.91875,-12.29976138,54.29073232,7.515001478,7.515001478,0.571408641,0,Right,Right, Sandy Alcantara ,Miami Marlins,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,8.19945007,41.68741197,67.13437742,-0.00000172,9.99E-05
